Name,Data,Parent
1,Food,root
2,Electronics,root
3,Fashion,root
4,Snack,root
5,Meat&Breads,root
6,d,root
7,d,root
8,d,root
9,d,root
10,d,root
11,d,root
12,d,4
13,d,5
14,d,6
15,d,7
16,d,8
17,d,9
18,d,10
19,d,11
20,d,12
21,d,root
22,d,root
23,d,root
24,d,root
25,d,root
26,d,root
27,d,root
28,d,root
29,d,root
30,d,root
31,d,root
32,d,root
33,d,2
34,d,3
35,d,4
36,d,5
37,d,6
38,d,7
39,d,8
40,d,9
41,d,10
42,d,11
43,d,12
44,d,13
45,d,root
46,d,root
47,d,root
48,d,root
49,d,root
50,d,root
51,d,16
52,d,17
53,d,18
54,d,19
55,d,19
56,d,19
57,d,18
58,d,18
59,d,17
60,d,16
61,d,26
62,d,27
63,d,27
64,d,29
65,d,30
66,d,30
67,d,29
68,d,29
69,d,root
70,d,1
71,d,2
72,d,3
73,d,3
74,d,5
75,d,5
76,d,5
77,d,3
78,d,2
79,d,2
80,d,11
81,d,11
82,d,1
83,d,2
84,d,3
85,d,4
86,d,5
87,d,6
88,d,7
89,d,8
90,d,9
91,d,10
92,d,11
93,d,12
94,d,13
95,d,14
96,d,15
97,d,16
98,d,17
99,d,18
100,d,19
101,d,20
102,d,21
103,d,22
104,d,23
105,d,24
106,d,25
107,d,26
108,d,27
109,d,28
110,d,29
111,d,30
112,d,31
113,d,32
114,d,33
115,d,34
116,d,35
117,d,36
118,d,37
119,d,20
120,d,21
121,d,22
122,d,23
123,d,24
124,d,25
125,d,26
126,d,root
127,d,root
128,d,root
129,d,root
130,d,root
131,d,root
132,d,root
133,d,root
134,d,root
135,d,root
136,d,root
137,d,root
138,d,6
139,d,7
140,d,8
141,d,9
142,d,10
143,d,11
144,d,12
145,d,13
146,d,14
147,d,15
148,d,16
149,d,17
150,d,18
151,d,19
152,d,20
153,d,21
154,d,22
155,d,23
156,d,24
157,d,25
158,d,26
159,d,27
160,d,28
161,d,29
162,d,30
163,d,31
164,d,32
165,d,33
166,d,34
167,d,35
168,d,36
169,d,37
170,d,38
171,d,39
172,d,40
173,d,41
174,d,42
175,d,43
176,d,44
177,d,45
178,d,46
179,d,47
180,d,48
181,d,49
182,d,50
183,d,51
184,d,52
185,d,53
186,d,54
187,d,55
188,d,56
189,d,57
190,d,58
191,d,59
192,d,60
193,d,root
194,d,root
195,d,root
196,d,root
197,d,root
198,d,root
199,d,root
200,d,root
201,d,root
202,d,root
203,d,root
204,d,root
205,d,root
206,d,root
207,d,root
208,d,root
209,d,root
210,d,root
211,d,root
212,d,root
213,d,root
214,d,root
215,d,root
216,d,root
217,d,root
218,d,root
219,d,root
220,d,root
221,d,root
222,d,root
223,d,root
224,d,root
225,d,root
226,d,root
227,d,root
228,d,root
229,d,root
230,d,root
231,d,root
232,d,root
233,d,root
234,d,root
235,d,root
236,d,root
237,d,root
238,d,root
239,d,root
240,d,root
241,d,root
242,d,root
243,d,root
244,d,root
245,d,root
246,d,root
247,d,root
248,d,root
249,d,root
250,d,root
251,d,root
252,d,root
253,d,root
254,d,root
255,d,root
256,d,root
257,d,root
258,d,root
259,d,root
260,d,root
261,d,root
262,d,root
263,d,root
264,d,root
265,d,root
266,d,root
267,d,root
268,d,root
269,d,root
270,d,root
271,d,root
272,d,root
273,d,root
274,d,root
275,d,root
276,d,root
277,d,root
278,d,root
279,d,root
280,d,root
281,d,root
282,d,root
283,d,root
284,d,root
285,d,root
286,d,root
287,d,root
288,d,root
289,d,root
290,d,root
291,d,root
292,d,root
293,d,root
294,d,root
295,d,root
296,d,root
297,d,root
298,d,root
299,d,root
300,d,root
301,d,root
302,d,root
303,d,root
304,d,root
305,d,root
306,d,root
307,d,root
308,d,root
309,d,root
310,d,root
311,d,root
312,d,root
313,d,root
314,d,root
315,d,root
316,d,root
317,d,root
318,d,root
319,d,root
320,d,root
321,d,root
322,d,root
323,d,root
324,d,root
325,d,root
326,d,root
327,d,root
328,d,root
329,d,root
330,d,root
331,d,root
332,d,root
333,d,root
334,d,root
335,d,root
336,d,root
337,d,root
338,d,root
339,d,root
340,d,root
341,d,root
342,d,root
343,d,root
344,d,root
345,d,root
346,d,root
347,d,root
348,d,root
349,d,root
350,d,root
351,d,root
352,d,root
353,d,root
354,d,root
355,d,root
356,d,root
357,d,root
358,d,root
359,d,root
360,d,root
361,d,root
362,d,root
363,d,root
364,d,root
365,d,root
366,d,root
367,d,root
368,d,root
369,d,root
370,d,root
371,d,root
372,d,root
373,d,root
374,d,root
375,d,root
376,d,root
377,d,root
378,d,root
379,d,root
380,d,root
381,d,root
382,d,root
383,d,root
384,d,root
385,d,root
386,d,root
387,d,root
388,d,root
389,d,root
390,d,root
391,d,root
392,d,root
393,d,root
394,d,root
395,d,root
396,d,root
397,d,root
398,d,root
399,d,root
400,d,root
401,d,root
402,d,root
403,d,root
404,d,root
405,d,root
406,d,root
407,d,root
408,d,root
409,d,root
410,d,root
411,d,root
412,d,root
413,d,root
414,d,root
415,d,root
416,d,root
417,d,root
418,d,root
419,d,root
420,d,root
421,d,root
422,d,root
423,d,root
424,d,root
425,d,root
426,d,root
427,d,root
428,d,root
429,d,root
430,d,root
431,d,root
432,d,root
433,d,root
434,d,root
435,d,root
436,d,root
437,d,root
438,d,root
439,d,root
440,d,root
441,d,root
442,d,root
443,d,root
444,d,root
445,d,root
446,d,root
447,d,root
448,d,root
449,d,root
450,d,root
451,d,root
452,d,root
453,d,root
454,d,root
455,d,root
456,d,root
457,d,root
458,d,root
459,d,root
460,d,root
461,d,root
462,d,root
463,d,root
464,d,root
465,d,root
466,d,root
467,d,root
468,d,root
469,d,root
470,d,root
471,d,root
472,d,root
473,d,root
474,d,root
475,d,root
476,d,root
477,d,root
478,d,root
479,d,root
480,d,root
481,d,root
482,d,root
483,d,root
484,d,root
485,d,root
486,d,root
487,d,root
488,d,root
489,d,root
490,d,root
491,d,root
492,d,root
493,d,root
494,d,root
495,d,root
496,d,root
497,d,root
498,d,root
499,d,root
500,d,root
501,d,root
502,d,root
503,d,root
504,d,root
505,d,root
506,d,root
507,d,root
508,d,root
509,d,root
510,d,root
511,d,root
512,d,root
513,d,root
514,d,root
515,d,root
516,d,root
517,d,root
518,d,root
519,d,89
520,d,90
521,d,30
522,d,30
523,d,29
524,d,29
525,d,24
526,d,25
527,d,26
528,d,27
529,d,root
530,d,1
531,d,2
532,d,3
533,d,3
534,d,5
535,d,5
536,d,5
537,d,3
538,d,2
539,d,2
540,d,11
541,d,11
542,d,1
543,d,root
544,d,root
545,d,16
546,d,17
547,d,18
548,d,19
549,d,19
550,d,19
551,d,18
552,d,18
553,d,17
554,d,16
555,d,26
556,d,27
557,d,27
558,d,29
559,d,30
560,d,30
561,d,29
562,d,29
563,d,root
564,d,1
565,d,2
566,d,3
567,d,3
568,d,5
569,d,5
570,d,5
571,d,3
572,d,2
573,d,2
574,d,11
575,d,11
576,d,1
577,d,root
578,d,root
579,d,16
580,d,17
581,d,18
582,d,19
583,d,19
584,d,19
585,d,18
586,d,18
587,d,17
588,d,16
589,d,26
590,d,27
591,d,27
592,d,29
593,d,30
594,d,30
595,d,29
596,d,29
597,d,root
598,d,1
599,d,2
600,d,3
601,d,3
602,d,5
603,d,5
604,d,5
605,d,3
606,d,2
607,d,2
608,d,11
609,d,11
610,d,1
611,d,root
612,d,root
613,d,16
614,d,17
615,d,18
616,d,19
617,d,19
618,d,19
619,d,18
620,d,18
621,d,17
622,d,16
623,d,26
624,d,27
625,d,27
626,d,29
627,d,30
628,d,30
629,d,29
630,d,29
631,d,24
632,d,25
633,d,26
634,d,27
635,d,28
636,d,29
637,d,30
638,d,31
639,d,32
640,d,33
641,d,34
642,d,35
643,d,36
644,d,37
645,d,38
646,d,39
647,d,40
648,d,41
649,d,42
650,d,43
651,d,62
652,d,63
653,d,64
654,d,65
655,d,66
656,d,67
657,d,68
658,d,69
659,d,70
660,d,71
661,d,72
662,d,73
663,d,74
664,d,75
665,d,76
666,d,77
667,d,78
668,d,85
669,d,86
670,d,87
671,d,88
672,d,89
673,d,90
674,d,91
675,d,92
676,d,93
677,d,94
678,d,95
679,d,96
680,d,97
681,d,98
682,d,99
683,d,100
684,d,101
685,d,102
686,d,103
687,d,104
688,d,105
689,d,64
690,d,65
691,d,66
692,d,67
693,d,68
694,d,69
695,d,70
696,d,71
697,d,72
698,d,73
699,d,74
700,d,75
701,d,76
702,d,77
703,d,78
704,d,79
705,d,80
706,d,81
707,d,82
708,d,83
709,d,84
710,d,85
711,d,86
712,d,87
713,d,88
714,d,89
715,d,90
716,d,30
717,d,30
718,d,29
719,d,29
720,d,24
721,d,25
722,d,26
723,d,27
724,d,28
725,d,29
726,d,30
727,d,31
728,d,32
729,d,33
730,d,34
731,d,35
732,d,36
733,d,37
734,d,38
735,d,39
736,d,40
737,d,41
738,d,42
739,d,43
740,d,62
741,d,63
742,d,64
743,d,65
744,d,66
745,d,67
746,d,68
747,d,69
748,d,70
749,d,71
750,d,72
751,d,73
752,d,122
753,d,123
754,d,124
755,d,125
756,d,126
757,d,127
758,d,128
759,d,129
760,d,130
761,d,131
762,d,132
763,d,133
764,d,134
765,d,135
766,d,136
767,d,137
768,d,138
769,d,139
770,d,140
771,d,141
772,d,142
773,d,143
774,d,144
775,d,145
776,d,146
777,d,147
778,d,148
779,d,149
780,d,150
781,d,151
782,d,152
783,d,153
784,d,154
785,d,155
786,d,156
787,d,157
788,d,158
789,d,159
790,d,160
791,d,161
792,d,162
793,d,163
794,d,164
795,d,165
796,d,166
797,d,167
798,d,168
799,d,169
800,d,170
801,d,94
802,d,95
803,d,72
804,d,73
805,d,122
806,d,123
807,d,124
808,d,125
809,d,126
810,d,127
811,d,128
812,d,129
813,d,130
814,d,131
815,d,132
816,d,133
817,d,134
818,d,135
819,d,136
820,d,137
821,d,138
822,d,139
823,d,140
824,d,141
825,d,142
826,d,143
827,d,144
828,d,145
829,d,146
830,d,147
831,d,148
832,d,149
833,d,150
834,d,151
835,d,152
836,d,153
837,d,154
838,d,155
839,d,156
840,d,157
841,d,158
842,d,159
843,d,160
844,d,161
845,d,162
846,d,163
847,d,164
848,d,165
849,d,166
850,d,167
851,d,168
852,d,169
853,d,170
854,d,94
855,d,95
856,d,96
857,d,97
858,d,98
859,d,99
860,d,100
861,d,101
862,d,102
863,d,103
864,d,104
865,d,105
866,d,106
867,d,107
868,d,108
869,d,109
870,d,110
871,d,111
872,d,112
873,d,113
874,d,114
875,d,240
876,d,241
877,d,242
878,d,243
879,d,244
880,d,245
881,d,246
882,d,247
883,d,248
884,d,249
885,d,250
886,d,251
887,d,252
888,d,253
889,d,254
890,d,255
891,d,256
892,d,257
893,d,258
894,d,259
895,d,260
896,d,261
897,d,262
898,d,263
899,d,264
900,d,265
901,d,266
902,d,267
903,d,268
904,d,269
905,d,270
906,d,271
907,d,272
908,d,273
909,d,274
910,d,275
911,d,276
912,d,277
913,d,278
914,d,279
915,d,280
916,d,281
917,d,282
918,d,283
919,d,284
920,d,285
921,d,286
922,d,287
923,d,288
924,d,289
925,d,2
926,d,11
927,d,11
928,d,1
929,d,root
930,d,root
931,d,16
932,d,17
933,d,18
934,d,19
935,d,19
936,d,19
937,d,18
938,d,18
939,d,17
940,d,16
941,d,26
942,d,27
943,d,27
944,d,29
945,d,30
946,d,30
947,d,29
948,d,29
949,d,root
950,d,1
951,d,2
952,d,3
953,d,3
954,d,5
955,d,5
956,d,5
957,d,3
958,d,2
959,d,2
960,d,11
961,d,11
962,d,1
963,d,root
964,d,root
965,d,16
966,d,17
967,d,18
968,d,19
969,d,19
970,d,19
971,d,18
972,d,18
973,d,17
974,d,16
975,d,26
976,d,27
977,d,27
978,d,29
979,d,30
980,d,30
981,d,29
982,d,29
983,d,root
984,d,1
985,d,2
986,d,3
987,d,3
988,d,5
989,d,5
990,d,5
991,d,3
992,d,2
993,d,2
994,d,11
995,d,11
996,d,1
997,d,root
998,d,root
999,d,16
1000,d,17
1001,d,18
1002,d,19
1003,d,19
1004,d,19
1005,d,18
1006,d,18
1007,d,17
1008,d,16
1009,d,26
1010,d,27
1011,d,27
1012,d,29
1013,d,30
1014,d,30
1015,d,29
1016,d,29
1017,d,24
1018,d,25
1019,d,26
1020,d,27
1021,d,28
1022,d,29
1023,d,30
1024,d,31
1025,d,32
1026,d,33
1027,d,34
1028,d,35
1029,d,36
1030,d,37
1031,d,38
1032,d,39
1033,d,40
1034,d,41
1035,d,42
1036,d,43
1037,d,62
1038,d,63
1039,d,64
1040,d,65
1041,d,66
1042,d,67
1043,d,68
1044,d,69
1045,d,70
1046,d,71
1047,d,72
1048,d,73
1049,d,74
1050,d,75
1051,d,76
1052,d,77
1053,d,78
1054,d,85
1055,d,86
1056,d,87
1057,d,88
1058,d,89
1059,d,90
1060,d,91
1061,d,92
1062,d,93
1063,d,94
1064,d,765
1065,d,766
1066,d,767
1067,d,768
1068,d,769
1069,d,770
1070,d,771
1071,d,772
1072,d,773
1073,d,774
1074,d,775
1075,d,776
1076,d,777
1077,d,778
1078,d,779
1079,d,780
1080,d,781
1081,d,782
1082,d,783
1083,d,784
1084,d,785
1085,d,786
1086,d,787
1087,d,788
1088,d,789
1089,d,790
1090,d,791
1091,d,792
1092,d,793
1093,d,794
1094,d,795
1095,d,796
1096,d,797
1097,d,798
1098,d,799
1099,d,800
1100,d,801
1101,d,802
1102,d,803
1103,d,804
1104,d,805
1105,d,806
1106,d,807
1107,d,808
1108,d,809
1109,d,810
1110,d,811
1111,d,812
1112,d,813
1113,d,814
1114,d,815
1115,d,816
1116,d,817
1117,d,818
1118,d,819
1119,d,820
1120,d,821
1121,d,822
1122,d,823
1123,d,824
1124,d,825
1125,d,826
1126,d,1010
1127,d,1011
1128,d,1012
1129,d,1013
1130,d,1014
1131,d,1015
1132,d,1016
1133,d,1017
1134,d,1018
1135,d,1019
1136,d,1020
1137,d,1021
1138,d,1022
1139,d,1023
1140,d,1024
1141,d,1025
1142,d,1026
1143,d,1027
1144,d,1028
1145,d,1029
1146,d,1030
1147,d,1031
1148,d,1032
1149,d,1033
1150,d,1034
1151,d,1035
1152,d,1036
1153,d,1037
1154,d,1038
1155,d,1039
1156,d,1040
1157,d,1041
1158,d,1042
1159,d,1043
1160,d,1044
1161,d,1045
1162,d,1046
1163,d,1047
1164,d,1048
1165,d,1049
1166,d,1050
1167,d,1051
1168,d,1052
1169,d,1053
1170,d,1054
1171,d,1055
1172,d,598
1173,d,599
1174,d,600
1175,d,601
1176,d,602
1177,d,603
1178,d,604
1179,d,605
1180,d,606
1181,d,607
1182,d,608
1183,d,609
1184,d,610
1185,d,611
1186,d,612
1187,d,613
1188,d,614
1189,d,615
1190,d,616
1191,d,617
1192,d,618
1193,d,619
1194,d,620
1195,d,621
1196,d,622
1197,d,623
1198,d,624
1199,d,625
1200,d,626
1201,d,627
1202,d,628
1203,d,629
1204,d,630
1205,d,631
1206,d,632
1207,d,633
1208,d,634
1209,d,635
1210,d,636
1211,d,637
1212,d,638
1213,d,639
1214,d,640
1215,d,641
1216,d,642
1217,d,643
1218,d,644
1219,d,645
1220,d,646
1221,d,647
1222,d,648
1223,d,649
1224,d,650
1225,d,651
1226,d,652
1227,d,653
1228,d,654
1229,d,655
1230,d,656
1231,d,657
1232,d,658
1233,d,659
1234,d,660
1235,d,661
1236,d,662
1237,d,663
1238,d,664
1239,d,665
1240,d,666
1241,d,667
1242,d,668
1243,d,669
1244,d,670
1245,d,671
1246,d,672
1247,d,673
1248,d,674
1249,d,675
1250,d,676
1251,d,677
1252,d,678
1253,d,679
1254,d,680
1255,d,681
1256,d,682
1257,d,683
1258,d,684
1259,d,685
1260,d,686
1261,d,687
1262,d,688
1263,d,689
1264,d,690
1265,d,691
1266,d,692
1267,d,693
1268,d,694
1269,d,695
1270,d,696
1271,d,697
1272,d,698
1273,d,699
1274,d,700
1275,d,701
1276,d,702
1277,d,703
1278,d,704
1279,d,705
1280,d,706
1281,d,707
1282,d,708
1283,d,709
1284,d,710
1285,d,711
1286,d,712
1287,d,713
1288,d,714
1289,d,715
1290,d,716
1291,d,717
1292,d,718
1293,d,719
1294,d,720
1295,d,721
1296,d,722
1297,d,723
1298,d,724
1299,d,725
1300,d,726
1301,d,727
1302,d,728
1303,d,729
1304,d,730
1305,d,731
1306,d,732
1307,d,733
1308,d,734
1309,d,735
1310,d,736
1311,d,737
1312,d,738
1313,d,739
1314,d,740
1315,d,741
1316,d,742
1317,d,743
1318,d,744
1319,d,745
1320,d,746
1321,d,747
1322,d,748
1323,d,749
1324,d,750
1325,d,751
1326,d,752
1327,d,753
1328,d,754
1329,d,755
1330,d,756
1331,d,757
1332,d,758
1333,d,759
1334,d,760
1335,d,761
1336,d,762
1337,d,763
1338,d,764
1339,d,765
1340,d,766
1341,d,767
1342,d,768
1343,d,769
1344,d,770
1345,d,771
1346,d,772
1347,d,773
1348,d,774
1349,d,775
1350,d,776
1351,d,777
1352,d,778
1353,d,779
1354,d,780
1355,d,781
1356,d,782
1357,d,783
1358,d,784
1359,d,785
1360,d,786
1361,d,787
1362,d,787
1363,d,787
1364,d,787
1365,d,787
1366,d,787
1367,d,787
1368,d,787
1369,d,787
1370,d,787
1371,d,787
1372,d,787
1373,d,787
1374,d,787
1375,d,787
1376,d,787
1377,d,787
1378,d,787
1379,d,787
1380,d,787
1381,d,787
1382,d,787
1383,d,787
1384,d,787
1385,d,787
1386,d,787
1387,d,787
1388,d,787
1389,d,787
1390,d,787
1391,d,787
1392,d,787
1393,d,787
1394,d,787
1395,d,787
1396,d,787
1397,d,787
1398,d,787
1399,d,787
1400,d,787
1401,d,787
1402,d,787
1403,d,787
1404,d,787
1405,d,787
1406,d,787
1407,d,787
1408,d,787
1409,d,787
1410,d,787
1411,d,787
1412,d,787
1413,d,787
1414,d,787
1415,d,787
1416,d,787
1417,d,787
1418,d,787
1419,d,787
1420,d,787
1421,d,787
1422,d,787
1423,d,787
1424,d,787
1425,d,787
1426,d,787
1427,d,787
1428,d,787
1429,d,787
1430,d,787
1431,d,787
1432,d,787
1433,d,787
1434,d,787
1435,d,787
1436,d,787
1437,d,787
1438,d,787
1439,d,787
1440,d,787
1441,d,787
1442,d,787
1443,d,787
1444,d,787
1445,d,787
1446,d,787
1447,d,787
1448,d,787
1449,d,787
1450,d,787
1451,d,787
1452,d,787
1453,d,787
1454,d,787
1455,d,787
1456,d,787
1457,d,787
1458,d,787
1459,d,787
1460,d,787
1461,d,787
1462,d,787
1463,d,787
1464,d,787
1465,d,787
1466,d,787
1467,d,787
1468,d,787
1469,d,787
1470,d,787
1471,d,787
1472,d,787
1473,d,787
1474,d,787
1475,d,787
1476,d,787
1477,d,787
1478,d,787
1479,d,787
1480,d,787
1481,d,787
1482,d,787
1483,d,787
1484,d,787
1485,d,787
1486,d,787
1487,d,787
1488,d,787
1489,d,787
1490,d,787
1491,d,787
1492,d,787
1493,d,787
1494,d,787
1495,d,787
1496,d,787
1497,d,787
1498,d,787
1499,d,787
1500,d,787
1501,d,787
1502,d,787
1503,d,787
1504,d,787
1505,d,787
1506,d,787
1507,d,787
1508,d,787
1509,d,787
1510,d,787
1511,d,787
1512,d,787
1513,d,787
1514,d,787
1515,d,787
1516,d,787
1517,d,787
1518,d,787
1519,d,787
1520,d,787
1521,d,787
1522,d,787
1523,d,787
1524,d,787
1525,d,787
1526,d,787
1527,d,787
1528,d,787
1529,d,787
1530,d,787
1531,d,787
1532,d,787
1533,d,787
1534,d,787
1535,d,787
1536,d,787
1537,d,787
1538,d,787
1539,d,787
1540,d,787
1541,d,787
1542,d,787
1543,d,787
1544,d,787
1545,d,787
1546,d,787
1547,d,787
1548,d,787
1549,d,787
1550,d,787
1551,d,787
1552,d,787
1553,d,787
1554,d,787
1555,d,787
1556,d,787
1557,d,787
1558,d,787
1559,d,787
1560,d,787
1561,d,787
1562,d,787
1563,d,787
1564,d,787
1565,d,787
1566,d,787
1567,d,787
1568,d,787
1569,d,787
1570,d,787
1571,d,787
1572,d,787
1573,d,787
1574,d,787
1575,d,787
1576,d,787
1577,d,787
1578,d,787
1579,d,787
1580,d,787
1581,d,787
1582,d,787
1583,d,787
1584,d,787
1585,d,787
1586,d,787
1587,d,787
1588,d,787
1589,d,787
1590,d,787
1591,d,787
1592,d,787
1593,d,787
1594,d,787
1595,d,787
1596,d,787
1597,d,787
1598,d,787
1599,d,787
1600,d,787
1601,d,787
1602,d,787
1603,d,787
1604,d,787
1605,d,787
1606,d,787
1607,d,787
1608,d,787
1609,d,787
1610,d,787
1611,d,787
1612,d,787
1613,d,787
1614,d,787
1615,d,787
1616,d,787
1617,d,787
1618,d,787
1619,d,787
1620,d,787
1621,d,787
1622,d,787
1623,d,787
1624,d,787
1625,d,787
1626,d,787
1627,d,787
1628,d,787
1629,d,787
1630,d,787
1631,d,787
1632,d,787
1633,d,787
1634,d,787
1635,d,787
1636,d,787
1637,d,787
1638,d,787
1639,d,787
1640,d,787
