Name,Data,Parent
1,Food,root
2,Electronics,1
3,Fashion,2
4,Snack,3
5,Meat&Breads,3
6,d,5
7,d,5
8,d,5
9,d,3
10,d,2
11,d,2
12,d,11
13,d,11
14,d,1
15,d,root
16,d,root
17,d,16
18,d,17
19,d,18
20,d,19
21,d,19
22,d,19
23,d,18
24,d,18
25,d,17
26,d,16
27,d,26
28,d,27
29,d,27
30,d,29
31,d,30
32,d,30
33,d,29
34,d,29
35,d,root
36,d,1
37,d,2
38,d,3
39,d,3
40,d,5
41,d,5
42,d,5
43,d,3
44,d,2
45,d,2
46,d,11
47,d,11
48,d,1
49,d,root
50,d,root
51,d,16
52,d,17
53,d,18
54,d,19
55,d,19
56,d,19
57,d,18
58,d,18
59,d,17
60,d,16
61,d,26
62,d,27
63,d,27
64,d,29
65,d,30
66,d,30
67,d,29
68,d,29
69,d,root
70,d,1
71,d,2
72,d,3
73,d,3
74,d,5
75,d,5
76,d,5
77,d,3
78,d,2
79,d,2
80,d,11
81,d,11
82,d,1
83,d,root
84,d,root
85,d,16
86,d,17
87,d,18
88,d,19
89,d,19
90,d,19
91,d,18
92,d,18
93,d,17
94,d,16
95,d,26
96,d,27
97,d,27
98,d,29
99,d,30
100,d,30
101,d,29
102,d,29
103,d,24
104,d,25
105,d,26
106,d,27
107,d,28
108,d,29
109,d,30
110,d,31
111,d,32
112,d,33
113,d,34
114,d,35
115,d,36
116,d,37
117,d,38
118,d,39
119,d,40
120,d,41
121,d,42
122,d,43
123,d,62
124,d,63
125,d,64
126,d,65
127,d,66
128,d,67
129,d,68
130,d,69
131,d,70
132,d,71
133,d,72
134,d,73
135,d,74
136,d,75
137,d,76
138,d,77
139,d,78
140,d,85
141,d,86
142,d,87
143,d,88
144,d,89
145,d,90
146,d,91
147,d,92
148,d,93
149,d,94
150,d,95
151,d,96
152,d,97
153,d,98
154,d,99
155,d,100
156,d,101
157,d,102
158,d,103
159,d,104
160,d,105
161,d,64
162,d,65
163,d,66
164,d,67
165,d,68
166,d,69
167,d,70
168,d,71
169,d,72
170,d,73
171,d,74
172,d,75
173,d,76
174,d,77
175,d,78
176,d,79
177,d,80
178,d,81
179,d,82
180,d,83
181,d,84
182,d,85
183,d,86
184,d,87
185,d,88
186,d,89
187,d,90
188,d,30
189,d,30
190,d,29
191,d,29
192,d,24
193,d,25
194,d,26
195,d,27
196,d,28
197,d,29
198,d,30
199,d,31
200,d,32
201,d,33
202,d,34
203,d,35
204,d,36
205,d,37
206,d,38
207,d,39
208,d,40
209,d,41
210,d,42
211,d,43
212,d,62
213,d,63
214,d,64
215,d,65
216,d,66
217,d,67
218,d,68
219,d,69
220,d,70
221,d,71
222,d,72
223,d,73
224,d,122
225,d,123
226,d,124
227,d,125
228,d,126
229,d,127
230,d,128
231,d,129
232,d,130
233,d,131
234,d,132
235,d,133
236,d,134
237,d,135
238,d,136
239,d,137
240,d,138
241,d,139
242,d,140
243,d,141
244,d,142
245,d,143
246,d,144
247,d,145
248,d,146
249,d,147
250,d,148
251,d,149
252,d,150
253,d,151
254,d,152
255,d,153
256,d,154
257,d,155
258,d,156
259,d,157
260,d,158
261,d,159
262,d,160
263,d,161
264,d,162
265,d,163
266,d,164
267,d,165
268,d,166
269,d,167
270,d,168
271,d,169
272,d,170
273,d,94
274,d,95
275,d,96
276,d,97
277,d,98
278,d,99
279,d,100
280,d,101
281,d,102
282,d,103
283,d,104
284,d,105
285,d,106
286,d,107
287,d,108
288,d,109
289,d,110
290,d,111
291,d,112
292,d,113
293,d,114
294,d,240
295,d,241
296,d,242
297,d,243
298,d,244
299,d,245
300,d,246
301,d,247
302,d,248
303,d,249
304,d,250
305,d,251
306,d,252
307,d,253
308,d,254
309,d,255
310,d,256
311,d,257
312,d,258
313,d,259
314,d,260
315,d,261
316,d,262
317,d,263
318,d,264
319,d,265
320,d,266
321,d,267
322,d,268
323,d,269
324,d,270
325,d,271
326,d,272
327,d,273
328,d,274
329,d,275
330,d,276
331,d,277
332,d,278
333,d,279
334,d,280
335,d,281
336,d,282
337,d,283
338,d,284
339,d,285
340,d,286
341,d,287
342,d,288
343,d,289
344,d,2
345,d,11
346,d,11
347,d,1
348,d,root
349,d,root
350,d,16
351,d,17
352,d,18
353,d,19
354,d,19
355,d,19
356,d,18
357,d,18
358,d,17
359,d,16
360,d,26
361,d,27
362,d,27
363,d,29
364,d,30
365,d,30
366,d,29
367,d,29
368,d,root
369,d,1
370,d,2
371,d,3
372,d,3
373,d,5
374,d,5
375,d,5
376,d,3
