Name,Data,Parent
root,Food,root
2,Electronics,root
3,Fashion,root
4,Snack,2
5,Meat&Breads,2
6,Beverage,2
7,Computer,3
8,Camera&Photo,3
9,Shoes,4
10,Jewelry,4
11,Clothes,4
12,Meat,6
13,Breads,6
14,Video,9
15,Earrings,11
16,Rings,11
17,Tops,12
18,AAA,12
19,Candy,5
20,Chocolate,5
21,Beef,13
22,Chicken,13
23,Desserts,14
24,Cakes,14
25,Coke,7
26,Sprite,7
27,DataStorage,8
28,Accessories,8
29,Camcorders,15
30,Lighting,15
31,Lenses,9
32,Sandals,10
33,Sneakers,10
34,Ball,16
35,Clip-Ons,16
36,Bands,17
37,Stacking,17
38,Jeans,12
39,sss,12
40,Clip-Ons,18
41,Bands,18
42,Stacking,18
43,Jeans,18
44,sss,12
